Well;Fluor;Target;Content;Sample;End RFU;Call;Sample Type;CallType;Is Control
A01;SYBR;;Unkn;HS 0 ng;5099.33;;Unknown;Unassigned;FALSE
A02;SYBR;;Unkn;HS 0 ng;5027.84;;Unknown;Unassigned;FALSE
A03;SYBR;;Unkn;HS 0 ng;4948.24;;Unknown;Unassigned;FALSE
A04;SYBR;;Unkn;HS 0 ng;4906.73;;Unknown;Unassigned;FALSE
A05;SYBR;;Unkn;HS 20 ng;20039.21;;Unknown;Unassigned;FALSE
A06;SYBR;;Unkn;HS 20 ng;19120.74;;Unknown;Unassigned;FALSE
A07;SYBR;;Unkn;HS 20 ng;65068.13;;Unknown;Unassigned;FALSE
A08;SYBR;;Unkn;HS 20 ng;65043.94;;Unknown;Unassigned;FALSE
A09;SYBR;;Unkn;HS_124;5342.07;;Unknown;Unassigned;FALSE
A10;SYBR;;Unkn;HS_71;7120.32;;Unknown;Unassigned;FALSE
A11;SYBR;;Unkn;HS_93;4963.48;;Unknown;Unassigned;FALSE
A12;SYBR;;Unkn;HS_92;5219.88;;Unknown;Unassigned;FALSE
B01;SYBR;;Unkn;HS_9;5867.45;;Unknown;Unassigned;FALSE
B02;SYBR;;Unkn;HS_21;5122.31;;Unknown;Unassigned;FALSE
B03;SYBR;;Unkn;HS_107;5246.97;;Unknown;Unassigned;FALSE
B04;SYBR;;Unkn;HS_61;7703.61;;Unknown;Unassigned;FALSE
B05;SYBR;;Unkn;HS_43;5941.27;;Unknown;Unassigned;FALSE
B06;SYBR;;Unkn;HS_69;6082.22;;Unknown;Unassigned;FALSE
B07;SYBR;;Unkn;HS_106;10414.7;;Unknown;Unassigned;FALSE
B08;SYBR;;Unkn;HS_29;7172.69;;Unknown;Unassigned;FALSE
B09;SYBR;;Unkn;HS_91;5083.86;;Unknown;Unassigned;FALSE
B10;SYBR;;Unkn;HS_98;5384.44;;Unknown;Unassigned;FALSE
B11;SYBR;;Unkn;HS_132;5856.35;;Unknown;Unassigned;FALSE
B12;SYBR;;Unkn;HS_33;9594.26;;Unknown;Unassigned;FALSE
