;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;SYBR;;Std;10^7;11.67;40600000.00000
;A02;SYBR;;Std;10^7;11.64;40600000.00000
;A03;SYBR;;Std;10^7;11.58;40600000.00000
;A04;SYBR;;Pos Ctrl;sample_mix;18.13;372926.14248
;A05;SYBR;;Unkn;S1;16.72;1100247.37606
;A06;SYBR;;Unkn;S9;23.82;4740.01440
;A07;SYBR;;Unkn;S17;22.17;16732.27799
;A08;SYBR;;Unkn;S25;17.62;549842.48464
;A09;SYBR;;Unkn;S33;23.02;8733.72738
;A10;SYBR;;Unkn;S41;19.72;109875.60215
;A11;SYBR;;Unkn;S49;28.37;144.18532
;A12;SYBR;;Unkn;S57;20.11;81444.97454
;B01;SYBR;;Std;10^6;14.95;4060000.00000
;B02;SYBR;;Std;10^6;14.92;4060000.00000
;B03;SYBR;;Std;10^6;15.04;4060000.00000
;B04;SYBR;;Pos Ctrl;sample_mix;18.87;210577.63395
;B05;SYBR;;Unkn;S2;16.92;942031.78355
;B06;SYBR;;Unkn;S10;16.16;1683760.33375
;B07;SYBR;;Unkn;S18;19.26;157011.45283
;B08;SYBR;;Unkn;S26;28.71;110.92451
;B09;SYBR;;Unkn;S34;17.88;452108.24190
;B10;SYBR;;Unkn;S42;37.30;0.15195
;B11;SYBR;;Unkn;S50;20.37;66802.58197
;B12;SYBR;;Unkn;S58;20.51;59858.46270
;C01;SYBR;;Std;10^5;18.25;406000.00000
;C02;SYBR;;Std;10^5;18.04;406000.00000
;C03;SYBR;;Std;10^5;18.04;406000.00000
;C04;SYBR;;Pos Ctrl;sample_mix;19.70;112084.22186
;C05;SYBR;;Unkn;S3;30.62;25.56620
;C06;SYBR;;Unkn;S11;17.98;418571.95391
;C07;SYBR;;Unkn;S19;17.39;656277.94148
;C08;SYBR;;Unkn;S27;15.56;2671151.11332
;C09;SYBR;;Unkn;S35;17.90;442955.97494
;C10;SYBR;;Unkn;S43;21.15;36820.71105
;C11;SYBR;;Unkn;S51;23.24;7392.05197
;C12;SYBR;;Unkn;S59;20.67;52963.42468
;D01;SYBR;;Std;10^4;21.61;40600.00000
;D02;SYBR;;Std;10^4;21.32;40600.00000
;D03;SYBR;;Std;10^4;21.22;40600.00000
;D04;SYBR;;Pos Ctrl;sample_mix;20.78;48622.53151
;D05;SYBR;;Unkn;S4;15.96;1971216.77175
;D06;SYBR;;Unkn;S12;19.44;136205.01815
;D07;SYBR;;Unkn;S20;17.61;555866.62850
;D08;SYBR;;Unkn;S28;17.39;656392.10138
;D09;SYBR;;Unkn;S36;22.80;10390.76421
;D10;SYBR;;Unkn;S44;21.03;40333.26362
;D11;SYBR;;Unkn;S52;21.13;37409.78789
;D12;SYBR;;Unkn;S60;21.57;26522.51928
;E01;SYBR;;Std;10^3;24.25;4060.00000
;E02;SYBR;;Std;10^3;24.81;4060.00000
;E03;SYBR;;Std;10^3;24.55;4060.00000
;E04;SYBR;;Pos Ctrl;sample_mix;20.83;46997.98337
;E05;SYBR;;Unkn;S5;13.85;9951486.28025
;E06;SYBR;;Unkn;S13;21.61;25791.58336
;E07;SYBR;;Unkn;S21;17.83;467502.25986
;E08;SYBR;;Unkn;S29;17.46;621839.99207
;E09;SYBR;;Unkn;S37;17.10;819272.80686
;E10;SYBR;;Unkn;S45;32.08;8.33865
;E11;SYBR;;Unkn;S53;20.13;80181.09433
;E12;SYBR;;Unkn;S61;28.09;178.92132
;F01;SYBR;;Std;10^2;27.09;406.00000
;F02;SYBR;;Std;10^2;26.68;406.00000
;F03;SYBR;;Std;10^2;26.75;406.00000
;F04;SYBR;;Pos Ctrl;sample_mix;22.08;17977.61120
;F05;SYBR;;Unkn;S6;17.06;847854.10052
;F06;SYBR;;Unkn;S14;32.40;6.57046
;F07;SYBR;;Unkn;S22;18.30;326122.65984
;F08;SYBR;;Unkn;S30;17.85;461782.40417
;F09;SYBR;;Unkn;S38;25.50;1307.50050
;F10;SYBR;;Unkn;S46;26.19;767.96558
;F11;SYBR;;Unkn;S54;20.91;44268.81634
;F12;SYBR;;Unkn;S62;38.75;0.05006
;G01;SYBR;;Std;10^1;29.66;40.60000
;G02;SYBR;;Std;10^1;30.06;40.60000
;G03;SYBR;;NTC;NTC;33.68;
;G04;SYBR;;Pos Ctrl;sample_mix;22.36;14561.49478
;G05;SYBR;;Unkn;S7;21.47;28814.05583
;G06;SYBR;;Unkn;S15;17.80;478565.16797
;G07;SYBR;;Unkn;S23;21.68;24488.55012
;G08;SYBR;;Unkn;S31;22.75;10781.12802
;G09;SYBR;;Unkn;S39;18.14;370580.51156
;G10;SYBR;;Unkn;S47;22.06;18276.38077
;G11;SYBR;;Unkn;S55;20.49;60888.27607
;G12;SYBR;;Unkn;S63;17.13;801723.44429
;H01;SYBR;;Std;10^0;33.19;4.06000
;H02;SYBR;;Std;10^0;32.11;4.06000
;H03;SYBR;;NTC;NTC;34.60;
;H04;SYBR;;Pos Ctrl;sample_mix;22.69;11222.11258
;H05;SYBR;;Unkn;S8;17.03;867403.33569
;H06;SYBR;;Unkn;S16;16.90;956330.38348
;H07;SYBR;;Unkn;S24;19.64;116750.66680
;H08;SYBR;;Unkn;S32;22.92;9449.48085
;H09;SYBR;;Unkn;S40;31.40;14.08189
;H10;SYBR;;Unkn;S48;18.69;242205.23721
;H11;SYBR;;Unkn;S56;22.69;11297.10451
;H12;SYBR;;Unkn;S64;16.96;913223.41784
