Content;Sample;Cq
Unkn;105(0-1);16.15
Unkn;105(0-1);16.13
Unkn;105(1-2);16.86
Unkn;105(1-2);16.27
Unkn;105(2-3;15.73
Unkn;105(2-3;15.52
Unkn;105(3-4);16.28
Unkn;105(3-4);15.56
Unkn;127-A;16.04
Unkn;127-A;16.06
Unkn;127-D;14.65
Unkn;127-D;14.75
Unkn;130-A;15.88
Unkn;130-A;15.61
Unkn;130-D;14.95
Unkn;130-D;14.57
Unkn;133-A;15.68
Unkn;133-A;15.67
Unkn;133-D;14.84
Unkn;133-D;14.88
Unkn;136-A;16.47
Unkn;136-A;16.69
Unkn;136-D;15.34
Unkn;136-D;15.4
Unkn;139-A;16.1
Unkn;139-A;15.72
Unkn;139-B;15.14
Unkn;139-B;15.11
Unkn;143-A;13.3
Unkn;143-A;13.16
Unkn;143-D;14.46
Unkn;143-D;14.28
Unkn;146-A;16.24
Unkn;146-A;16.1
Unkn;146-D;14.6
Unkn;146-D;14.67
Unkn;149-A;15.26
Unkn;149-A;15.48
Unkn;149-D;14.36
Unkn;149-D;14.29
Unkn;152-A;15.89
Unkn;152-A;15.9
Unkn;152-D;14.82
Unkn;152-D;15.05
Unkn;155-A;16.14
Unkn;155-A;16.02
Unkn;155-D;14.9
Unkn;155-D;14.76
Unkn;158-A;16.15
Unkn;158-A;16.26
Unkn;158-D;14.15
Unkn;158-D;14.08
Unkn;161-A;15.12
Unkn;161-A;15.11
Unkn;161-D;15.04
Unkn;161-D;15.03
NTC;NTC;24.71
NTC;NTC;23.67
Unkn;Ref-A;16.48
Unkn;Ref-A;16.5
Unkn;Ref-D;16.61
Unkn;Ref-D;16.98
Std;10^7;8
Std;10^6;11.76
Std;10^5;15.46
Std;10^4;18.04
Std;10^3;19.25
Std;10^7;7.99
Std;10^6;11.76
Std;10^5;15.79
Std;10^4;18.57
Std;10^3;19.75
Unkn;105(0-1);16.15
Unkn;139-B;15.14
